8 ---> noun,-1,-1,-1,-1,102,115,105,117,121
103 ---> noun_prop,-1,-1,-1,-1,109,100,99,97,121
121 ---> adj,-1,-1,-1,-1,102,100,100,103,121
38 ---> noun,-1,-1,-1,-1,102,115,99,117,121
169 ---> verb,50,105,97,117,102,112,-1,-1,-1
165 ---> noun_prop,-1,-1,-1,-1,109,100,105,110,121
122 ---> verb,51,105,97,115,109,112,-1,-1,-1
86 ---> noun,-1,-1,-1,-1,102,100,99,110,121
82 ---> noun_prop,-1,-1,-1,-1,102,115,105,117,121
93 ---> verb,50,105,97,115,102,115,-1,-1,-1
155 ---> noun_prop,-1,-1,-1,-1,109,100,100,110,121
73 ---> verb,51,105,112,106,109,112,-1,-1,-1
90 ---> adj,-1,-1,-1,-1,109,112,105,97,121
131 ---> verb,51,105,112,105,102,100,-1,-1,-1
117 ---> verb,49,105,97,117,109,115,-1,-1,-1
94 ---> adj,-1,-1,-1,-1,109,112,99,103,121
115 ---> adj,-1,-1,-1,-1,102,112,99,117,121
18 ---> noun_prop,-1,-1,-1,-1,109,115,105,97,121
70 ---> part_fut,-1,-1,-1,-1,-1,-1,-1,-1,-1
75 ---> adj,-1,-1,-1,-1,102,112,105,117,121
92 ---> verb,50,99,97,105,109,115,-1,-1,-1
46 ---> noun,-1,-1,-1,-1,109,112,100,103,121
41 ---> adj,-1,-1,-1,-1,109,115,105,97,121
104 ---> verb,51,112,97,105,102,100,-1,-1,-1
55 ---> verb,49,105,97,117,109,112,-1,-1,-1
150 ---> verb,50,99,97,105,109,112,-1,-1,-1
140 ---> verb,49,105,112,105,109,112,-1,-1,-1
166 ---> pron,51,-1,-1,-1,102,112,105,110,121
160 ---> verb,50,99,97,105,102,115,-1,-1,-1
35 ---> pron_rel,-1,-1,-1,-1,109,115,105,117,121
143 ---> adj,-1,-1,-1,-1,102,100,105,97,121
119 ---> verb,50,105,97,105,109,100,-1,-1,-1
21 ---> conj,-1,-1,-1,-1,-1,-1,-1,-1,-1
96 ---> part_det,-1,-1,-1,-1,-1,-1,-1,-1,-1
180 ---> verb,50,105,112,106,109,100,-1,-1,-1
45 ---> verb,51,112,97,105,109,112,-1,-1,-1
84 ---> noun,-1,-1,-1,-1,109,100,105,110,121
132 ---> verb,51,105,112,106,109,100,-1,-1,-1
125 ---> adj,-1,-1,-1,-1,109,112,105,103,121
62 ---> noun,-1,-1,-1,-1,102,100,100,103,121
101 ---> adj,-1,-1,-1,-1,109,100,100,103,121
154 ---> verb,51,112,112,105,109,100,-1,-1,-1
36 ---> noun,-1,-1,-1,-1,102,112,105,117,121
53 ---> abbrev,-1,-1,-1,-1,-1,-1,-1,-1,-1
127 ---> verb,51,105,97,105,102,100,-1,-1,-1
72 ---> verb,51,105,112,117,109,115,-1,-1,-1
22 ---> noun_prop,-1,-1,-1,-1,109,115,100,117,121
83 ---> verb,51,105,97,105,109,100,-1,-1,-1
153 ---> part_neg,-1,-1,-1,-1,-1,-1,100,-1,-1
106 ---> pron,51,-1,-1,-1,109,112,105,110,121
67 ---> noun,-1,-1,-1,-1,109,100,100,97,121
59 ---> noun,-1,-1,-1,-1,109,112,99,110,121
182 ---> verb,49,112,112,105,109,115,-1,-1,-1
124 ---> noun,-1,-1,-1,-1,109,112,99,97,121
118 ---> adj,-1,-1,-1,-1,109,112,105,110,121
108 ---> noun,-1,-1,-1,-1,102,100,105,103,121
79 ---> adj,-1,-1,-1,-1,109,112,100,97,121
27 ---> -1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20 ---> adj,-1,-1,-1,-1,102,115,99,117,121
15 ---> noun,-1,-1,-1,-1,109,112,100,110,121
171 ---> pron_rel,-1,-1,-1,-1,102,112,105,117,121
99 ---> verb_pseudo,-1,-1,-1,-1,-1,-1,-1,-1,-1
151 ---> adj,-1,-1,-1,-1,102,100,99,110,121
147 ---> pron,51,-1,-1,-1,109,100,105,110,121
172 ---> conj_sub,-1,-1,-1,-1,-1,-1,-1,-1,-1
159 ---> noun_prop,-1,-1,-1,-1,109,100,100,103,121
25 ---> noun_num,-1,-1,-1,-1,109,115,105,117,121
102 ---> verb,49,105,97,105,109,112,-1,-1,-1
9 ---> noun,-1,-1,-1,-1,109,115,99,117,121
7 ---> punc,-1,-1,-1,-1,-1,-1,-1,-1,-1
63 ---> noun,-1,-1,-1,-1,109,100,99,110,121
134 ---> noun_prop,-1,-1,-1,-1,109,115,99,117,121
40 ---> verb,51,105,97,106,109,112,-1,-1,-1
16 ---> pron,51,-1,-1,-1,102,115,105,110,121
139 ---> verb,51,42,117,117,109,115,-1,-1,-1
167 ---> adj,-1,-1,-1,-1,109,100,99,97,121
52 ---> verb,51,112,112,105,102,115,-1,-1,-1
37 ---> adj,-1,-1,-1,-1,109,100,100,97,121
174 ---> pron_dem,-1,-1,-1,-1,102,100,105,97,121
123 ---> noun,-1,-1,-1,-1,109,112,105,97,121
81 ---> adj,-1,-1,-1,-1,109,112,100,110,121
120 ---> adj,-1,-1,-1,-1,109,112,99,97,121
43 ---> pron_rel,-1,-1,-1,-1,102,115,105,117,121
68 ---> verb,49,112,97,105,109,112,-1,-1,-1
135 ---> verb,49,105,112,117,109,112,-1,-1,-1
138 ---> verb,51,112,112,105,102,100,-1,-1,-1
33 ---> adj,-1,-1,-1,-1,102,112,100,117,121
61 ---> noun,-1,-1,-1,-1,102,100,105,97,121
136 ---> verb,51,112,97,105,102,112,-1,-1,-1
76 ---> adj,-1,-1,-1,-1,109,100,105,110,121
49 ---> verb,51,105,112,117,102,115,-1,-1,-1
2 ---> noun_prop,-1,-1,-1,-1,109,115,105,117,121
156 ---> pron_rel,-1,-1,-1,-1,102,100,105,97,121
0 ---> noun,-1,-1,-1,-1,109,115,105,117,121
85 ---> noun,-1,-1,-1,-1,109,112,99,103,121
66 ---> adj,-1,-1,-1,-1,109,112,100,103,121
163 ---> verb,51,105,112,106,102,100,-1,-1,-1
89 ---> noun_prop,-1,-1,-1,-1,102,115,100,117,121
141 ---> verb,51,105,97,115,109,100,-1,-1,-1
31 ---> pron,51,-1,-1,-1,109,115,105,110,121
17 ---> prep,-1,-1,-1,-1,-1,-1,-1,-1,-1
178 ---> verb,50,105,112,117,102,112,-1,-1,-1
5 ---> noun,-1,-1,-1,-1,102,115,100,117,121
77 ---> noun,-1,-1,-1,-1,102,112,99,117,121
126 ---> verb,51,105,112,105,109,112,-1,-1,-1
26 ---> adj,-1,-1,-1,-1,109,115,105,117,121
130 ---> verb,51,105,97,106,109,100,-1,-1,-1
78 ---> noun,-1,-1,-1,-1,109,100,105,97,121
24 ---> adj,-1,-1,-1,-1,102,115,100,117,121
144 ---> verb,50,105,97,106,102,115,-1,-1,-1
170 ---> verb,50,105,97,106,109,112,-1,-1,-1
137 ---> verb,51,105,97,106,102,100,-1,-1,-1
110 ---> adv,-1,-1,-1,-1,109,115,105,97,121
60 ---> noun,-1,-1,-1,-1,109,100,99,103,121
64 ---> noun,-1,-1,-1,-1,109,112,100,97,121
179 ---> verb,50,105,112,117,109,115,-1,-1,-1
95 ---> adj,-1,-1,-1,-1,102,100,105,103,121
54 ---> verb,51,105,97,105,109,112,-1,-1,-1
14 ---> part_neg,-1,-1,-1,-1,-1,-1,-1,-1,-1
19 ---> verb,51,105,97,117,109,115,-1,-1,-1
113 ---> adj,-1,-1,-1,-1,102,100,100,97,121
88 ---> interj,-1,-1,-1,-1,-1,-1,-1,-1,-1
57 ---> noun,-1,-1,-1,-1,102,100,100,110,121
98 ---> adj,-1,-1,-1,-1,109,100,99,110,121
114 ---> noun,-1,-1,-1,-1,102,100,99,103,121
56 ---> noun,-1,-1,-1,-1,109,115,100,103,121
152 ---> verb,51,105,97,117,102,112,-1,-1,-1
149 ---> adj,-1,-1,-1,-1,109,100,99,103,121
181 ---> adj,-1,-1,-1,-1,102,100,99,97,121
146 ---> verb,50,105,97,105,102,115,-1,-1,-1
161 ---> pron_rel,-1,-1,-1,-1,102,100,105,110,121
6 ---> noun,-1,-1,-1,-1,109,115,105,97,121
12 ---> noun,-1,-1,-1,-1,102,112,100,117,121
50 ---> noun,-1,-1,-1,-1,102,100,99,97,121
30 ---> noun,-1,-1,-1,-1,109,112,105,110,121
13 ---> verb,51,112,97,105,102,115,-1,-1,-1
91 ---> adj,-1,-1,-1,-1,109,100,105,97,121
129 ---> adv,-1,-1,-1,-1,109,115,99,117,121
51 ---> part_neg,-1,-1,-1,-1,-1,-1,99,-1,-1
58 ---> verb,51,112,112,105,109,115,-1,-1,-1
29 ---> verb,51,112,97,105,109,115,-1,-1,-1
42 ---> verb,49,112,97,105,109,115,-1,-1,-1
105 ---> verb,51,112,97,105,109,100,-1,-1,-1
107 ---> verb,50,112,97,105,102,115,-1,-1,-1
100 ---> noun,-1,-1,-1,-1,102,100,100,97,121
3 ---> verb,51,105,97,105,102,115,-1,-1,-1
142 ---> verb,50,112,97,105,109,115,-1,-1,-1
47 ---> adj,-1,-1,-1,-1,109,115,99,117,121
162 ---> verb,50,105,97,105,109,115,-1,-1,-1
128 ---> adj,-1,-1,-1,-1,102,100,105,110,121
32 ---> noun,-1,-1,-1,-1,109,100,105,103,121
74 ---> verb,50,105,97,117,109,115,-1,-1,-1
116 ---> pron,49,-1,-1,-1,109,112,105,110,121
97 ---> noun,-1,-1,-1,-1,109,112,105,103,121
176 ---> adj,-1,-1,-1,-1,109,100,100,110,121
109 ---> verb,50,112,97,105,109,112,-1,-1,-1
69 ---> verb,51,105,112,105,109,115,-1,-1,-1
87 ---> noun_quant,-1,-1,-1,-1,109,100,105,110,121
148 ---> verb,50,105,97,105,109,112,-1,-1,-1
11 ---> adj,-1,-1,-1,-1,109,115,100,117,121
175 ---> verb,50,112,97,105,102,112,-1,-1,-1
177 ---> adj,-1,-1,-1,-1,102,100,100,110,121
34 ---> adj,-1,-1,-1,-1,102,115,105,117,121
71 ---> noun,-1,-1,-1,-1,109,100,100,103,121
10 ---> verb,51,105,97,117,102,115,-1,-1,-1
1 ---> noun,-1,-1,-1,-1,109,115,100,117,121
65 ---> verb,51,105,97,105,109,115,-1,-1,-1
145 ---> noun,-1,-1,-1,-1,102,100,105,110,121
44 ---> verb,51,105,112,105,102,115,-1,-1,-1
164 ---> verb,51,105,97,105,102,112,-1,-1,-1
4 ---> pron_dem,-1,-1,-1,-1,102,115,105,117,121
112 ---> noun,-1,-1,-1,-1,109,100,99,97,121
80 ---> noun_prop,-1,-1,-1,-1,102,112,105,117,121
173 ---> verb,51,105,112,117,102,112,-1,-1,-1
28 ---> part_interrog,-1,-1,-1,-1,-1,-1,-1,-1,-1
133 ---> adj,-1,-1,-1,-1,109,112,99,110,121
39 ---> adv,-1,-1,-1,-1,109,115,105,117,121
157 ---> verb,51,105,112,115,109,112,-1,-1,-1
158 ---> verb,51,112,112,105,109,112,-1,-1,-1
168 ---> verb,51,105,112,105,109,100,-1,-1,-1
23 ---> noun,-1,-1,-1,-1,109,100,100,110,121
111 ---> adj,-1,-1,-1,-1,109,100,105,103,121
48 ---> part_verb,-1,-1,-1,-1,-1,-1,-1,-1,-1
